smiles
O=C(O)C(NCC)CCN1N=CC=C1C
O=C(OC)CC1=CC=C(CCBr)C=C1
NCC1=CC=CC(OCC(C)C)=C1
CC(C)C1=C(C=CC(=C1)C(=O)OC)Cl
OC(CC1=CC=CC(F)=C1)C(F)(F)F
CCOC(=O)CCC1C(=O)OC(OC1=O)(C)C
CNC1=CN=NC=C1
CC(CC1=CC=CO1)(CN)O
CC1=C(C=C(O1)C(=O)O)CSC(C)C(=O)O
COC1=CC=CC2=C1OCC(=C2)C(=O)O
ClCC1=NN=C(C2=CC=CS2)O1
O=C([C@H](C1)NCCC1=O)OC
O=C(O)CC1=C(C)N2C(N=C1C)=CC(N2)=O
N#CC1=C(N)NC2=C1C=CC(Cl)=C2
CCNC(=O)C=CC1=CC(=CC=C1)Br
C1=COC2=C(C=C(C=C21)F)C(=O)O
NC1=C(Br)N=C(C=N1)C(O)=O
OC1=C([C@@H](O)C)C=CC=C1OCC
O=C(C1=NC=CC(O)=C1)OC
O=C(C1=NOC(CO)=C1)OCC
FC(C1=CC2=C(NN=C2)C(Br)=C1)(F)F
COC1=CC=C(C=C1)C2=CC3=C(C=CC=C3)N2
CCOC(=O)C1=CC2=C(S1)C=CC(=C2)Br
IC1=NN(C2=C1SC=C2)C(OC(C)(C)C)=O
CC(C)(OC1=CC=C(O)C=C1C)C(OCC)=O
CC1=CC(NC(C(C)(C)C)=O)=NC=C1
NC[C@H]1CNC(=O)C1
O=C(OCC)C1=NC=C(N)C=C1OC
OB(C1=C2C(OC3=CC=CC=C23)=CC=C1)O
O=C(O)C(C1=CC=CC(O)=C1)NC2=CC=CC=C2
C[C@@H](C1=NC(C2=CC=CC(F)=C2)=NO1)O
C1COC2=C(C=C(C=C2Br)Br)C1=O
FC1(F)CN(C(CBr)=O)C1
O=C(N(CCC1=O)CC21CCNC2)OC(C)(C)C
CC1=CN=CC(C)=C1B2OC(C)(C)C(C)(C)O2
C1=CC=C2C(=C1)NC(=N2)NC3=CC=C(C=C3)N
NN1CCN(C)CC1
CC1=C(Cl)C(N2CCNCC2)=CC=C1
O=C([C@H]1[C@H](NC(OC(C)(C)C)=O)CC1)O
CC1=CC2=C(C=C1)S(=O)(=O)CCCC2O
O=C1CC2(CCCCC2)OC3=CC=C(Br)C=C13
N#CC1=NC=C(B2OC(C)(C)C(C)(C)O2)C=N1
N#C[C@@H]1CN(CC1)C(OC(C)(C)C)=O
O=CC(C=C1)=C(F)C=C1C2=COC=C2
O=C(C1NCCCNC1)OC
NC1=CC2=C(C=C1OC)CCN(C)C2
NC1=NN(CC(C)C)C=C1C
