updated_reaction
[N:1].[O:4]-[C:2]=[O:3]>>[N:1]-[C:2]=[O:3]
[N:1].[C:2]-[X:3]>>[N:1]-[C:2]
[N:1].[X:4]-[C:2]=[O:3]>>[N:1]-[C:2]=[O:3]
[O:1].[C:2]-[X:3]>>[O:1]-[C:2]
[C:2]-[C:3](-[C:4])(-[C:5])-[O:6]-[C:7](-[N:1])=[O:8]>>[N:1]
[N:1].[C:2]=[O:3]>>[N:1]-[C:2]
[C:1]-[X:5].[a:3]:[n:2]:[a:4]>>[C:1]-[n:2](:[a:3]):[a:4]
[N:1].[O:3]=[S:2](=[O:4])-[X:5]>>[N:1]-[S:2](=[O:3])=[O:4]
[N:1].[X:5]-[c:2](:[a:3]):[a:4]>>[N:1]-[c:2](:[a:3]):[a:4]
[C:1]=[O:2]>>[C:1]-[O:2]
[C:1]-[O:2]>>[C:1]=[O:2]
[N:1].[C:2]=[O:3]>>[N:1]=[C:2]
[C:2]-[O:1]>>[O:1]
[O:1].[C:2]-[O:3]>>[O:1]-[C:2]
[O:1].[X:5]-[c:2](:[a:3]):[a:4]>>[O:1]-[c:2](:[a:3]):[a:4]
[N:4].C-C(-C)(-C)-[O:6]-[C:7](=O)-[O:8]-[C:3](=[O:5])-[O:2]-[C:1]>>[C:1]-[O:2]-[C:3](-[N:4])=[O:5]
[O:1].[X:4]-[C:2]=[O:3]>>[O:1]-[C:2]=[O:3]
[N:1].C-C-[O:4]-[C:2]=[O:3]>>[N:1]-[C:2]=[O:3]
[N:1].[N:3]=[C:2]=[O:4]>>[N:1]-[C:2](-[N:3])=[O:4]
[N:1].C-[O:4]-[C:2]=[O:3]>>[N:1]-[C:2]=[O:3]
[O:1].[O:4]-[C:2]=[O:3]>>[O:1]-[C:2]=[O:3]
[C:1].[C:2]=[O:3]>>[C:1]=[C:2]
C-[O:3]-[C:1]=[O:2]>>[C:1]-[O:2]
[S:1].[C:2]-[X:3]>>[S:1]-[C:2]
[N:1]-[C:2](=[O:3])-[O:4]-[C:5]-[a:6]1:[a:7]:[a:8]:[a:9]:[a:10]:[a:11]:1>>[N:1]
C-C-[O:3]-[C:1]=[O:2]>>[C:1]-[O:2]
[O:1].[O:3]=[S:2](=[O:4])-[X:5]>>[O:1]-[S:2](=[O:3])=[O:4]
[C:1]#[N:2]>>[C:1]-[N:2]
[N:1].C-C(=O)-[O:4]-[C:2]=[O:3]>>[N:1]-[C:2]=[O:3]
C-C(-C)(-C)-[Si:2](-C)(-C)-[O:1]>>[O:1]
C-[C:2](-[O:1])=[O:3]>>[O:1]
[N:1].[C:2]-[O:3]>>[N:1]-[C:2]
[C:1]=[O:3].[C:2]-[P:4](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1>>[C:1]=[C:2]
[N:3].[N:1]=[C:2]=[O:4]>>[N:1]-[C:2](-[N:3])=[O:4]
[N:1]=[N:2]=[N:3]>>[N:1]
[C:1]-[C:2](-[N:3])=[O:4]>>[C:1]-[C:2]-[N:3]
[C:1]-[Mg:4].[C:2]=[O:3]>>[C:1]-[C:2]-[O:3]
[C:2]-[C:3](-[N:1])=[O:4]>>[N:1]
[O:2]=[C:3]1-[N:1]-[C:4](=[O:5])-[a:6]2:c:c:c:c:[a:7]:2-1>>[N:1]
[N:1].C-S(=O)(=O)-[O:3]-[C:2]>>[N:1]-[C:2]
[S:1].Cl-c1:c:c:c:c(-[C:3](=[O:4])-[O:5]-[O:2]):c:1>>[S:1]=[O:2]
[X:6]-[C:2]=[O:1].[a:4]:[c:3]:[a:5]>>[O:1]=[C:2]-[c:3](:[a:4]):[a:5]
[N:1].[N:3]=[C:2]=[S:4]>>[N:1]-[C:2](-[N:3])=[S:4]
[O:3].[O:1]=[S:2](=[O:4])-[X:5]>>[O:1]=[S:2](-[O:3])=[O:4]
[C:1]=[O:3].C-C-O-[P:4](-[C:2])(=[O:5])-O-C-C>>[C:1]=[C:2]
[O:1].[C:2]=[C:3]>>[O:1]-[C:2]-[C:3]
[O:4].[O:1]=[S:2](=[O:3])-[X:5]>>[O:1]=[S:2](=[O:3])-[O:4]
[N:1].[N:3].[O:4]-[C:2]=[O:5]>>[n:1]:[c:2]:[n:3]
[N:1].F-C(-F)(-F)-C(=O)-[O:4]-[C:2]=[O:3]>>[N:1]-[C:2]=[O:3]
[a:4]:[c:3]:[a:5].C-[N:6](-C)-[C:2]=[O:1]>>[O:1]=[C:2]-[c:3](:[a:4]):[a:5]
[S:1].[X:5]-[c:2](:[a:3]):[a:4]>>[S:1]-[c:2](:[a:3]):[a:4]
[C:1]=[O:2]>>[C:1]
[C:1]-[X:4].[N:2]=[N:3]>>[C:1]-[N:2]=[N:3]
[N:2]-[C:1]=[S:5].[X:6]-[C:4]-[C:3]=[O:7]>>[c:1]1:[n:2]:[c:3]:[c:4]:[s:5]:1
F-[C:2](-F)(-F)-[C:3](-[N:1])=[O:4]>>[N:1]
[C:1]-[O:3].Br-[C:4](-Br)(-Br)-[Br:2]>>[C:1]-[Br:2]
[O:1].C-S(=O)(=O)-[O:3]-[C:2]>>[O:1]-[C:2]
[a:5]:[n:4]:[a:6].[O:1]=[S:2](=[O:3])-[X:7]>>[O:1]=[S:2](=[O:3])-[n:4](:[a:5]):[a:6]
[O:3].[N:1]=[C:2]=[O:4]>>[N:1]-[C:2](-[O:3])=[O:4]
[X:6]-[C:2]=[O:1].[a:4]:[n:3]:[a:5]>>[O:1]=[C:2]-[n:3](:[a:4]):[a:5]
[N:3]-[C:2](=[O:4])-[a:1]>>[a:1]-[C:2]#[N:3]
[a:3]:[n:2]:[a:4].Cl-c1:c:c:c:c(-[C:5](=[O:6])-[O:7]-[O:1]):c:1>>[O:1]-[n:2](:[a:3]):[a:4]
[a:3]:[n:2]:[a:4].C-S(=O)(=O)-[O:5]-[C:1]>>[C:1]-[n:2](:[a:3]):[a:4]
[O:1].[O:3].[C:2]=[O:4]>>[O:1]-[C:2]-[O:3]
[N:1].C-C(-C)(-C)-[O:4]-[C:2]=[O:3]>>[N:1]-[C:2]=[O:3]
[a:6]:[n:5]:[a:7].C-C(-C)(-C)-[O:8]-[C:9](=O)-[O:10]-[C:3](=[O:4])-[O:2]-[C:1]>>[C:1]-[O:2]-[C:3](=[O:4])-[n:5](:[a:6]):[a:7]
[N:3].[N:1]=[C:2]=[S:4]>>[N:1]-[C:2](-[N:3])=[S:4]
[N:1]-[C:2]=[S:3].[X:6]-[C:4]-[C:5]=[O:7]>>[n:1]1:[c:2]:[s:3]:[c:4]:[c:5]:1
[N:1]-[C:2](=[O:4])-[a:3]>>[N:1]-[C:2]-[a:3]
[C:1]=[N:2]>>[C:1]-[N:2]
[C:1]=[O:3].[C:2]=[P:4](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1>>[C:1]=[C:2]
[a:5]:[n:4]:[a:6].[X:7]-[c:2](:[a:1]):[a:3]>>[a:1]:[c:2](:[a:3])-[n:4](:[a:5]):[a:6]
[N:1]-[N:2].[O:6]=[C:3]-[C:4]-[C:5]=[O:7]>>[n:1]1:[n:2]:[c:3]:[c:4]:[c:5]:1
[C:1]-[X:4].[C:2]#[N:3]>>[C:1]-[C:2]#[N:3]
[S:1].[O:2]-[O:3]>>[S:1]=[O:2]
[N:1].[O:6]=[C:2]-[C:3]-[C:4]-[C:5]=[O:7]>>[n:1]1:[c:2]:[c:3]:[c:4]:[c:5]:1
[C:2]-[O:3]-[C:4]-[O:1]>>[O:1]
[C:1]-[C:2](-[N:3])=[O:4]>>[C:1]-[C:2]#[N:3]
[N:1].[C:2]=[O:6].[a:4]:[c:3]:[a:5]>>[N:1]-[C:2]-[c:3](:[a:4]):[a:5]
[C:1]=[C:2].Cl-c1:c:c:c:c(-[C:4](=[O:5])-[O:6]-[O:3]):c:1>>[C:1]1-[C:2]-[O:3]-1
[N:2]=[N:3].C-S(=O)(=O)-[O:4]-[C:1]>>[C:1]-[N:2]=[N:3]
[C:4]-[C:5](-[C:6])(-[C:7])-[O:8]-[C:9](=[O:10])-[n:2](:[a:1]):[a:3]>>[a:1]:[n:2]:[a:3]
[C:2]=[O:1].[Mg:6]-[c:3](:[a:4]):[a:5]>>[O:1]-[C:2]-[c:3](:[a:4]):[a:5]
[N:2].[C:1]-[X:4].[C:3]-[X:5]>>[C:1]-[N:2]-[C:3]
[N:3]-[C:2]=[S:1].[X:6]-[C:5]-[C:4]=[O:7]>>[s:1]1:[c:2]:[n:3]:[c:4]:[c:5]:1
[O:1]-[C:2]1-[C:3]-[C:4]-[C:5]-[C:6]-[O:7]-1>>[O:1]
[a:1]:[n:2]:[a:3].[X:7]-[c:4](:[a:5]):[a:6]>>[a:1]:[n:2](:[a:3])-[c:4](:[a:5]):[a:6]
[C:1].[C:2]=[O:3]>>[C:1]-[C:2]-[O:3]
[C:1]-[X:10].[C:7]-[C:6](-[C:8])(-[C:9])-[O:5]-[C:3](-[N:2])=[O:4]>>[C:1]-[N:2]-[C:3](=[O:4])-[O:5]-[C:6](-[C:7])(-[C:8])-[C:9]
[a:1]:[n:2](:[a:3])-[C:4]1-[C:5]-[C:6]-[C:7]-[C:8]-[O:9]-1>>[a:1]:[n:2]:[a:3]
[N:1]-[C:2](=[O:3])-[O:4]-[C:5]-[C:6]1-[a:7]2:[a:8]:[a:9]:[a:10]:[a:11]:[a:12]:2-[a:13]2:[a:14]:[a:15]:[a:16]:[a:17]:[a:18]:2-1>>[N:1]
[C:1]-[O:2]-[C:3]1-[C:4]-[C:5]-[C:6]-[C:7]-[O:8]-1>>[C:1]-[O:2]
[C:1]-[O:5].[a:3]:[n:2]:[a:4]>>[C:1]-[n:2](:[a:3]):[a:4]
[C:1]-[Mg:5].C-O-[N:6](-C)-[C:2](=[O:3])-[a:4]>>[C:1]-[C:2](=[O:3])-[a:4]
[C:2]=[O:1].[C:3]#[C:4]>>[O:1]-[C:2]-[C:3]#[C:4]
[N:1]-[C:2](=[O:3])-[a:4]1:c:c:c:c:c:1>>[N:1]
[O:1].[C:2]=[N:3]=[N:4]>>[O:1]-[C:2]
[N:1].[S:3]=[C:2](-[X:4])-[X:5]>>[N:1]=[C:2]=[S:3]
[N:1].F-C(-F)(-F)-S(=O)(=O)-[O:5]-[c:2](:[a:3]):[a:4]>>[N:1]-[c:2](:[a:3]):[a:4]
[C:2]#[N:1].[X:6]-[c:3](:[a:4]):[a:5]>>[N:1]#[C:2]-[c:3](:[a:4]):[a:5]
